scenario,density,density_veh_km_lane,weather,hazard_type,policy,slot_epochs,seed,rwcr,tir_median_s,tir_p95_s,tx_per_at_risk_informed,actionable_deadline_miss_rate,transmissions
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,7,0.9395392569255403,0.3000000000000007,0.7000000000000002,0.8938053097345132,0.21985815602836878,101.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,8,0.8758107292882087,0.3000000000000007,0.5,1.1904761904761905,0.3892215568862275,125.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,9,0.9106824524670866,0.40000000000000036,0.7000000000000002,0.8849557522123894,0.2715231788079471,100.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,0,0.9199837185549777,0.40000000000000036,0.5,1.0803571428571428,0.323170731707317,121.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,1,0.9347209861195223,0.40000000000000036,0.8000000000000007,1.2285714285714286,0.3178807947019867,129.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,2,0.9047119136035224,0.3000000000000007,0.5,1.1081081081081081,0.36257309941520466,123.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,3,0.9628109818955932,0.40000000000000036,0.6000000000000005,0.905511811023622,0.23636363636363633,115.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,0.8916666666666667,0.3314285714285714,107.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,5,0.9048060154307334,0.40000000000000036,0.6000000000000005,1.0854700854700854,0.33526011560693647,127.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,6,0.912752188316034,0.3000000000000007,0.5,1.0701754385964912,0.3924731182795699,122.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,7,0.9395392569255403,0.40000000000000036,0.6000000000000005,1.1592920353982301,0.21985815602836878,131.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,8,0.8758107292882087,0.3000000000000007,0.5149999999999992,1.0761904761904761,0.3892215568862275,113.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,1,9,0.9189506454853011,0.40000000000000036,0.6000000000000005,1.0526315789473684,0.26490066225165565,120.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,0,0.9155479073875823,0.3000000000000007,0.6000000000000005,0.954954954954955,0.3292682926829268,106.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,1,0.9347209861195223,0.5,0.9000000000000004,0.9904761904761905,0.3112582781456954,104.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,2,0.9047119136035224,0.3000000000000007,0.5,1.063063063063063,0.36257309941520466,118.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,3,0.9628109818955932,0.40000000000000036,0.7000000000000002,0.8188976377952756,0.23636363636363633,104.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,4,0.9329862875852796,0.40000000000000036,0.6000000000000005,0.9915966386554622,0.3371428571428572,118.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,5,0.9135456477130292,0.40000000000000036,0.6699999999999992,0.9152542372881356,0.32947976878612717,108.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,6,0.912752188316034,0.3000000000000007,0.5,0.9473684210526315,0.3924731182795699,108.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,7,0.9395392569255403,0.3000000000000007,0.6000000000000005,0.9203539823008849,0.21985815602836878,104.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,8,0.8758107292882087,0.3000000000000007,0.5,1.2476190476190476,0.3892215568862275,131.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,2,9,0.9189506454853011,0.40000000000000036,0.5,1.0263157894736843,0.26490066225165565,117.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,0,0.9199837185549777,0.3000000000000007,0.6000000000000005,0.8928571428571429,0.323170731707317,100.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,1,0.9347209861195223,0.8000000000000007,1.2000000000000002,1.0857142857142856,0.3112582781456954,114.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,2,0.9047119136035224,0.3000000000000007,0.5,0.963963963963964,0.36257309941520466,107.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,3,0.9628109818955932,0.40000000000000036,0.6000000000000005,0.8818897637795275,0.23636363636363633,112.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,0.95,0.3314285714285714,114.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,5,0.9135456477130292,0.40000000000000036,0.6000000000000005,1.0084745762711864,0.32947976878612717,119.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,6,0.9046944869164254,0.3000000000000007,0.5,0.911504424778761,0.3978494623655914,103.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,7,0.9395392569255403,0.3000000000000007,0.7000000000000002,0.9380530973451328,0.21985815602836878,106.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,8,0.8667757223805036,0.3000000000000007,0.5,1.2019230769230769,0.3892215568862275,125.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,5,9,0.9189506454853011,0.40000000000000036,0.7000000000000002,0.8947368421052632,0.26490066225165565,102.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,0,0.9199837185549777,0.3000000000000007,0.6000000000000005,0.8839285714285714,0.323170731707317,99.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,1,0.9347209861195223,1.3000000000000007,1.7149999999999994,1.019047619047619,0.3178807947019867,107.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,2,0.9047119136035224,0.3000000000000007,0.5,0.990990990990991,0.36257309941520466,110.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,3,0.9628109818955932,0.40000000000000036,0.6000000000000005,0.952755905511811,0.23636363636363633,121.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,0.975,0.3314285714285714,117.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,5,0.9135456477130292,0.40000000000000036,0.6000000000000005,1.0169491525423728,0.33526011560693647,120.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,6,0.9036520010102959,0.3000000000000007,0.5,0.8938053097345132,0.3978494623655914,101.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,7,0.9314662181393175,0.3000000000000007,0.7000000000000002,0.875,0.22695035460992907,98.0
rural_highway,20.0,20.0,clear,fog_bank,dvcast,10,8,0.8667757223805036,0.3000000000000007,0.5,1.2019230769230769,0.3892215568862275,125.0
