scenario,density,density_veh_km_lane,weather,hazard_type,seed,topology_split,hazard_split,weather_split,risk_est_precision,risk_est_recall,risk_est_f1,risk_peak_corr,n_at_risk_oracle,n_at_risk_causal,oracle_horizon_s,backend
rural_highway,1.0,1.0,moderate_rain,fog_bank,7,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.8862204574935412,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,fog_bank,8,train,train,held_out,0.9166666666666666,1.0,0.9565217391304348,0.904681576795656,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,fog_bank,9,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.8525555700426699,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,0,train,train,held_out,0.9166666666666666,1.0,0.9565217391304348,0.895484301574811,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,1,train,train,held_out,0.8571428571428571,1.0,0.923076923076923,0.827281698100171,12,14,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,2,train,train,held_out,0.8571428571428571,1.0,0.923076923076923,0.81454541849824,12,14,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,3,train,train,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8962535688389852,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,4,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8067809560811388,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,5,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8119622357538648,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,6,train,train,held_out,0.9090909090909091,1.0,0.9523809523809523,0.8956866038262165,10,11,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,7,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.894387202279967,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,8,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.9121583281484752,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,landslide,9,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.8596800383639105,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,0,train,train,held_out,0.8,0.4444444444444444,0.5714285714285714,0.6457204642164155,9,5,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,1,train,train,held_out,0.8571428571428571,0.5,0.631578947368421,0.4344293754938629,12,7,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,2,train,train,held_out,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.4436897038777351,9,6,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,3,train,train,held_out,0.8333333333333334,0.625,0.7142857142857143,0.6471827197051265,8,6,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,4,train,train,held_out,0.8333333333333334,0.625,0.7142857142857143,0.6975368584733508,8,6,226.35532333438687,fallback
