scenario,density_veh_km_lane,hazard_split,weather_split,metric,n_policies,fallback_best,sumo_best,best_changed,kendall_tau,fallback_best_value,sumo_same_policy_value,sumo_best_value,flip_gain,flip_gain_rel
urban_nlos,1.0,train,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.8333333333333334,0.4528939007615478,0.885545489784834,0.885545489784834,0.0,0.0
urban_nlos,1.0,train,train,tx_per_at_risk_informed,9,p_persistence_07,counter_based,True,,1.7427777777777778,inf,inf,,
urban_nlos,1.0,train,train,rwcr,9,flooding,flooding,False,0.8888888888888888,0.6190662095084064,0.16179068004969502,0.16179068004969502,0.0,0.0
urban_nlos,1.0,train,train,tir_median_s,9,p_persistence_07,p_persistence_05,True,-0.1111111111111111,4.034166666666668,5.021929824561403,4.979824561403509,0.04210526315789398,0.008384279475982382
urban_nlos,1.0,train,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.8888888888888888,0.41895817145817144,0.873225181838112,0.873225181838112,0.0,0.0
urban_nlos,2.0,held_out,held_out,tx_per_at_risk_informed,9,weighted_p,p_persistence_07,True,0.0,0.8680697066726815,inf,1.3495131715263295,inf,
urban_nlos,2.0,held_out,held_out,rwcr,9,flooding,slotted_1p,True,0.7777777777777778,0.9128922204749761,0.34399275174830174,0.35485456027551576,0.010861808527214023,0.031575690103963494
urban_nlos,2.0,held_out,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.8333333333333334,0.15000000000000036,0.23888888888888923,0.23888888888888923,0.0,0.0
urban_nlos,2.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,slotted_1p,True,0.7777777777777778,0.1510756397333149,0.6611296928101873,0.6502672160398408,0.010862476770346463,0.016430175332429246
urban_nlos,2.0,held_out,train,tx_per_at_risk_informed,9,p_persistence_05,counter_based,True,,1.0221526637352119,inf,inf,,
urban_nlos,2.0,held_out,train,rwcr,9,flooding,greedy_farthest,True,0.7222222222222222,0.9493339098179041,0.27823695328735887,0.2807626955725706,0.0025257422852117406,0.009077666554964009
urban_nlos,2.0,held_out,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.7222222222222222,0.20789473684210552,0.5437500000000003,0.5437500000000003,0.0,0.0
urban_nlos,2.0,held_out,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.7777777777777778,0.10793489523190866,0.7274174999831936,0.7274174999831936,0.0,0.0
urban_nlos,2.0,train,held_out,tx_per_at_risk_informed,9,weighted_p,p_persistence_07,True,0.0,0.9165317458306589,inf,1.483838553097325,inf,
urban_nlos,2.0,train,held_out,rwcr,9,flooding,slotted_1p,True,0.7777777777777778,0.9135407110644851,0.3652584102651671,0.36819905776638673,0.00294064750121964,0.008050868696178179
urban_nlos,2.0,train,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.8333333333333334,0.1464912280701758,0.9036363636363639,0.9036363636363639,0.0,0.0
urban_nlos,2.0,train,held_out,actionable_deadline_miss_rate,9,flooding,slotted_1p,True,0.7777777777777778,0.15182533408700413,0.6676712156530107,0.6641888216851825,0.0034823939678282345,0.0052157317646565095
urban_nlos,2.0,train,train,tx_per_at_risk_informed,9,weighted_p,counter_based,True,,1.0367349969432014,inf,inf,,
urban_nlos,2.0,train,train,rwcr,9,flooding,flooding,False,0.7777777777777778,0.9488957281334414,0.31132002241217116,0.31132002241217116,0.0,0.0
urban_nlos,2.0,train,train,tir_median_s,9,p_persistence_03,weighted_p,True,0.6111111111111112,0.1982758620689658,2.107692307692308,2.069444444444445,0.03824786324786311,0.018146796431467896
urban_nlos,2.0,train,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.7777777777777778,0.10981201436567188,0.7253073130264159,0.7253073130264159,0.0,0.0
urban_nlos,3.0,held_out,held_out,tx_per_at_risk_informed,9,counter_based,counter_based,False,,inf,inf,inf,,
urban_nlos,3.0,held_out,held_out,rwcr,9,flooding,dvcast,True,0.7777777777777778,0.9160410306461472,0.38575462555130813,0.3866151046454561,0.0008604790941479923,0.002230638434777608
urban_nlos,3.0,held_out,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.5555555555555556,0.2718750000000004,0.20625000000000038,0.20625000000000038,0.0,0.0
